Date,Type,Title,Event,Location,Name,Btn1Label,Btn2Label,Btn3Label,Doc1Label,Doc1URL,Doc2Label,Doc2URL,Reference
2026-08-01,workshop,2026 Summer Workshop - Agentic Workflows with Claude Code,[GW Trustworthy AI Initiative](https://trustworthyai.gwu.edu),"Washington, DC, USA",2026-agentic-workshop,Website,GitHub,,,,,,
2026-07-01,storybook,PhD Storybook - A Million Cars Come Home,PhD Dissertation,"Washington, DC, USA",2026-phd-storybook,Website,GitHub,,,,,,
2025-11-01,paper,Measuring electric vehicle owners' willingness to participate in smart charging programs,[Environmental Research Letters](https://iopscience.iop.org/journal/1748-9326),,2025-erl-smart-charging,,,,Website,https://iopscience.iop.org/article/10.1088/1748-9326/ae2597,Paper,https://iopscience.iop.org/article/10.1088/1748-9326/ae2597/pdf,"Hu, P., Tarroja, B., Dean, M., Forrest, K., Hittinger, E., Jenn, A., & Helveston, J. P. (2025). *Measuring electric vehicle owners' willingness to participate in smart charging programs*. Environmental Research Letters. https://doi.org/10.1088/1748-9326/ae2597"
2025-08-01,paper,"surveydown: An open-source, markdown-based platform for programmable and reproducible surveys",[PLOS ONE](https://journals.plos.org/plosone/),,2025-plosone-surveydown,,,,Website,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0331002,Paper,/resources/files/2025-plosone-surveydown.pdf,"Hu, P., Bunea, B., & Helveston, J. P. (2025). *surveydown: An open-source, markdown-based platform for programmable and reproducible surveys*. PLOS ONE, 20(8), e0331002. https://doi.org/10.1371/journal.pone.0331002"
2025-01-06,paper,Measuring Consumer Willingness to Enroll in Battery Electric Vehicle Smart Charging Programs,[TRB 2025](https://trb-annual-meeting.nationalacademies.org),,2025-trb-smart-charging-paper,,,,Decision Letter,/resources/files/2025-trb-decision-letter.pdf,Paper,/resources/files/2025-trb-smart-charging.pdf,"Hu, P., Tarroja, B., Dean, M., Forrest, K., Hittinger, E., Jenn, A., & Helveston, J. (2025). *Measuring Consumer Willingness to Enroll in Battery Electric Vehicle Smart Charging Programs*. The 104th Annual Meeting of the Transportation Research Board (TRB 2025)."
2024-10-10,paper,Measuring consumer willingness to enroll in battery electric vehicle smart charging programs,[IEEE VPPC 2024](https://events.vtsociety.org/vppc2024/),,2024-ieee-smart-charging-paper,,,,Website,https://ieeexplore.ieee.org/document/10755299,Paper,/resources/files/2024-ieee-smart-charging.pdf,"Hu, P., Tarroja, B., Dean, M., Forrest, K., Hittinger, E., Jenn, A., & Helveston, J. P. (2024). *Measuring consumer willingness to enroll in battery electric vehicle smart charging programs*. 2024 IEEE Vehicle Power and Propulsion Conference (VPPC), 1–17. https://doi.org/10.1109/VPPC63154.2024.10755299"
2026-08-26,slide,"Sustainable Transportation, Sustainable Research",PhD Thesis Defense,"Washington, DC, USA",2026-phd-thesis-defense,Slides,Paper,GitHub,,,,,
2026-08-18,slide,"Sustainable Transportation, Sustainable Research",[Monash University](https://www.monash.edu) Research Talk,Zoom,2026-monash-research-talk,Slides,PDF,GitHub,,,,,
2026-03-23,slide,sdstudio: A Companion Package for Designing and Managing surveydown Surveys,[GW OSCON](https://ospo.gwu.edu/open-source-conference-gw-oscon),"Washington, DC, USA",2026-gwoscon-sdstudio,Slides,PDF,GitHub,,,,,
2025-11-05,slide,"surveydown: An Open-Source, Markdown-Based Platform for Reproducible and Programmable Surveys",[Quant UX Con 2025](https://www.quantuxa.org/quant-ux-con/quant-ux-con-2025) with [Workshop](https://jhelvy.github.io/2025-qux-surveydown-workshop/),Zoom,2025-quant-ux-con-surveydown,Slides,PDF,GitHub,,,,,
2025-10-29,slide,"Electric Vehicle Smart Charging Adoption, Grid Peak-Shaving Quantification, and The surveydown Survey Platform",PhD Thesis Proposal,"Washington, DC, USA",2025-phd-thesis-proposal,Slides,Paper,GitHub,,,,,
2025-10-06,slide,"surveydown: An open-source platform for programmable, markdown-based surveys",[USRSE'25](https://us-rse.org/usrse25/),"Philadelphia, PA, USA",2025-usrse-surveydown,Slides,PDF,GitHub,,,,,
2025-08-06,slide,Grid-Integration of Electric Vehicles: Consumer Preferences for Supplier Managed Charging,[BTR 7](https://bridgingtransport.org/btr-7-program/),Zoom,2025-btr-grid-integration,Slides,PDF,GitHub,,,,,
2025-05-15,slide,Consumer Preferences for BEV Smart Charging Programs,GW Doctorial Qualification Exam,"Washington, DC, USA",2025-dqe-smart-charging,Slides,PDF,GitHub,,,,,
2025-03-24,slide,"surveydown: An Open-Source, Markdown-Based Platform for Interactive and Reproducible Surveys",[GW OSCON](https://ospo.gwu.edu/open-source-conference-gw-oscon#program) & [GW OSPO Award](https://ospo.gwu.edu/2024-student-open-source-award-winners),"Washington, DC, USA",2025-gwoscon-surveydown,Slides,PDF,GitHub,,,,,
2024-10-10,slide,Measuring Consumer Willingness to Enroll in Battery Electric Vehicle Smart Charging Programs,[IEEE VPPC 2024](https://events.vtsociety.org/vppc2024/),"Washington, DC, USA",2024-ieee-smart-charging,Slides,PDF,GitHub,,,,,
2026-04-24,poster,Peak-Shaving Potential and Cost Efficiency,[GW 2026 R&D and Senior Design Showcase](https://showcase.engineering.gwu.edu),"Washington, DC, USA",2026-gwrnd-peak-shaving,PDF,,,,,,,
2025-04-25,poster,"surveydown: An Open-Source, Markdown-Based Survey Platform",[GW 2025 R&D and Senior Design Showcase](https://showcase.engineering.gwu.edu),"Washington, DC, USA",2025-gwrnd-surveydown,PDF,,,,,,,
2025-04-25,poster,Electric Vehicle Owner Preferences for Smart Charging,[GW 2025 R&D and Senior Design Showcase](https://showcase.engineering.gwu.edu),"Washington, DC, USA",2025-gwrnd-smart-charging,PDF,,,,,,,
2025-01-06,poster,The BEV Smart Charging Adoption Project,[TRB 2025](https://trb-annual-meeting.nationalacademies.org),"Washington, DC, USA",2025-trb-smart-charging,PDF,,,,,,,
